produto;quantidade_litro;ano
Outros produtos;2.105.686;2021
Polpa de uva;1.002.033;2021
Preparado líquido para refresco;23.455;2021
Refrigerante +50% suco;175.954;2021
Sangria;17.222;2021
Vinagre balsamico;332.217;2021
Vinagre duplo;795.060;2021
Vinagre simples;5.647.166;2021
Vinho acetificado;1.448.086;2021
Vinho base para espumantes;-;2021
Vinho composto;227.116;2021
Vinho licoroso;376.597;2021
Vinho leve;-;2021
Vinho gaseificado;53.495;2021
Total;473.193.021;2021
VINHO DE MESA;210.012.238;2022
Tinto;185.653.678;2022
Rosado;1.931.606;2022
Branco;22.426.954;2022
VINHO  FINO DE MESA;27.080.445;2022
Tinto;19.337.862;2022
Rosado;1.603.537;2022
Branco;6.139.046;2022
VINHO FRIZANTE;3.696.762;2022
VINHO ORGÂNICO;18.686;2022
VINHO ESPECIAL;-;2022
Tinto;-;2022
Rosado;-;2022
Branco;-;2022
ESPUMANTES;31.242.697;2022
Espumante  Moscatel;12.240.059;2022
Espumante;19.001.999;2022
Espumante Orgânico;639;2022
SUCO DE UVAS;147.753.321;2022
Suco Natural Integral;115.173.833;2022
Suco Reprocessado/reconstituido;26.136.089;2022
Suco Orgânico;902.299;2022
Outros sucos de uvas;5.541.100;2022
SUCO DE UVAS CONCENTRADO;26.730.942;2022
OUTROS PRODUTOS COMERCIALIZADOS;26.657.930;2022
Outros vinhos (sem informação detalhada);17.618;2022
Agrin (fermentado, acetico misto);-;2022
Aguardente de vinho 50°gl;-;2022
Alcool vinico;-;2022
Bagaceira (graspa);7.676;2022
Base champenoise champanha;9.580;2022
Base charmat champanha;4.230;2022
Base espumante moscatel;49.734;2022
Bebida de uva;324.298;2022
Borra líquida;935;2022
Borra seca;414.100;2022
Brandy (conhaque);7.311;2022
Cooler;6.107.943;2022
Coquetel com vinho;244.184;2022
Destilado de vinho;175;2022
Filtrado doce;2.430.821;2022
Jeropiga;1.763;2022
Mistelas;9.075;2022
Mosto concentrado;-;2022
Mosto de uva;803.171;2022
Mosto sulfitado;-;2022
Nectar de uva;4.021.229;2022
Outros produtos;2.105.686;2022
Polpa de uva;1.002.033;2022
Preparado líquido para refresco;23.455;2022
Refrigerante +50% suco;175.954;2022
Sangria;17.222;2022
Vinagre balsamico;332.217;2022
Vinagre duplo;795.060;2022
Vinagre simples;5.647.166;2022
Vinho acetificado;1.448.086;2022
Vinho base para espumantes;-;2022
Vinho composto;227.116;2022
Vinho licoroso;376.597;2022
Vinho leve;-;2022
Vinho gaseificado;53.495;2022
Total;473.193.021;2022
