paises;quantidade;valor;ano
Hong Kong;1.229;7.837;2015
Hungria;-;-;2015
Ilha de Man;-;-;2015
Ilhas Virgens;-;-;2015
India;-;-;2015
Indonésia;-;-;2015
Irã;-;-;2015
Iraque;-;-;2015
Irlanda;-;-;2015
Itália;-;-;2015
Jamaica;-;-;2015
Japão;31.597;87.853;2015
Jordânia;-;-;2015
Letônia;-;-;2015
Líbano;-;-;2015
Libéria;-;-;2015
Luxemburgo;2.295;17.358;2015
Malásia;-;-;2015
Malta;-;-;2015
Marshall, Ilhas;-;-;2015
Mauritânia;-;-;2015
México;-;-;2015
Moçambique;-;-;2015
Montenegro;-;-;2015
Namibia;-;-;2015
Nicaragua;-;-;2015
Nigéria;-;-;2015
Noruega;1.058;6.021;2015
Nova Caledônia;-;-;2015
Nova Zelândia;809;3.476;2015
Omã;-;-;2015
Países Baixos;44.987;186.464;2015
Panamá;-;-;2015
Paraguai;495.428;741.370;2015
Peru;-;-;2015
Polônia;11.654;42.781;2015
Porto Rico;-;-;2015
Portugal;47.736;42.586;2015
Quênia;-;-;2015
Reino Unido;68.382;308.407;2015
República Dominicana;-;-;2015
Rússia;47.664;18.240;2015
São Tomé e Príncipe;-;-;2015
São Vicente e Granadinas;-;-;2015
Senegal;-;-;2015
Serra Leoa;-;-;2015
Singapura;-;-;2015
Suazilândia;-;-;2015
Suécia;1.412;6.404;2015
Suíça;15.872;85.790;2015
Suriname;453;713;2015
Tailândia;-;-;2015
Taiwan (FORMOSA);7.200;23.940;2015
Tanzânia;-;-;2015
Tcheca, República;2.297;15.304;2015
Togo;-;-;2015
Trinidade Tobago;-;-;2015
Tunísia;-;-;2015
Turquia;-;-;2015
Tuvalu;-;-;2015
Uruguai;-;-;2015
Vanuatu;-;-;2015
Venezuela;-;-;2015
Vietnã;-;-;2015
Total;1.198.479;2.769.160;2015
Afeganistão;-;-;2016
África do Sul;-;-;2016
Alemanha, República Democrática;14.012;68.109;2016
Angola;7.359;35.390;2016
Anguilla;-;-;2016
Antígua e Barbuda;-;-;2016
Antilhas Holandesas;16.641;26.450;2016
Argentina;-;-;2016
Aruba;-;-;2016
Austrália;1.954;13.799;2016
Áustria;675;5.220;2016
Bahamas;-;-;2016
Bangladesh;-;-;2016
Barbados;-;-;2016
Barein;-;-;2016
Bélgica;7.200;46.534;2016
Belice;-;-;2016
Benin;5.040;20.333;2016
Bolívia;13.586;16.902;2016
Bósnia-Herzegovina;-;-;2016
Brasil;-;-;2016
Bulgária;-;-;2016
Cabo Verde;-;-;2016
Camarões;-;-;2016
Canadá;13.711;71.096;2016
Catar;-;-;2016
Cayman, Ilhas;-;-;2016
Chile;-;-;2016
China;134.106;499.622;2016
Chipre;-;-;2016
Cingapura;5.445;13.199;2016
Cocos (Keeling), Ilhas;-;-;2016
Colômbia;-;-;2016
Comores;-;-;2016
Congo;-;-;2016
Coreia, Republica Sul;8;20;2016
Costa do Marfim;-;-;2016
Costa Rica;-;-;2016
Croácia;-;-;2016
Cuba;63.741;69.830;2016
Curaçao;-;-;2016
Dinamarca;1.278;8.171;2016
Dominica;-;-;2016
El Salvador;-;-;2016
Emirados Arabes Unidos;585;2.760;2016
Equador;-;-;2016
Eslovaca, Republica;-;-;2016
Espanha;-;-;2016
Estados Unidos;258.072;687.411;2016
Estônia;900;4.800;2016
Filipinas;-;-;2016
Finlândia;7.617;41.003;2016
França;6.037;30.055;2016
Gana;-;-;2016
Gibraltar;-;-;2016
Granada;-;-;2016
Grécia;-;-;2016
Guatemala;-;-;2016
Guiana;-;-;2016
Guiana Francesa;-;-;2016
Guine Bissau;-;-;2016
Guine Equatorial;-;-;2016
Haiti;-;-;2016
Honduras;-;-;2016
Hong Kong;6.975;86.199;2016
Hungria;-;-;2016
Ilha de Man;-;-;2016
Ilhas Virgens;-;-;2016
India;-;-;2016
Indonésia;-;-;2016
Irã;-;-;2016
Iraque;-;-;2016
Irlanda;-;-;2016
Itália;585;3.465;2016
Jamaica;-;-;2016
Japão;34.341;90.954;2016
Jordânia;-;-;2016
Letônia;-;-;2016
Líbano;-;-;2016
Libéria;-;-;2016
Luxemburgo;2.759;21.426;2016
Malásia;-;-;2016
Malta;-;-;2016
Marshall, Ilhas;-;-;2016
Mauritânia;-;-;2016
México;-;-;2016
Moçambique;-;-;2016
Montenegro;-;-;2016
Namibia;-;-;2016
Nicaragua;-;-;2016
Nigéria;-;-;2016
Noruega;-;-;2016
Nova Caledônia;-;-;2016
Nova Zelândia;504;9.472;2016
Omã;-;-;2016
Países Baixos;42.953;190.203;2016
Panamá;-;-;2016
Paraguai;985.739;1.655.417;2016
Peru;-;-;2016
Polônia;11.457;35.402;2016
Porto Rico;-;-;2016
Portugal;-;-;2016
Quênia;-;-;2016
Reino Unido;117.044;536.681;2016
República Dominicana;-;-;2016
Rússia;-;-;2016
São Tomé e Príncipe;-;-;2016
São Vicente e Granadinas;-;-;2016
Senegal;-;-;2016
Serra Leoa;-;-;2016
Singapura;-;-;2016
Suazilândia;-;-;2016
Suécia;291;1.214;2016
Suíça;4.230;33.340;2016
Suriname;900;1.375;2016
Tailândia;-;-;2016
Taiwan (FORMOSA);16.967;80.379;2016
Tanzânia;-;-;2016
Tcheca, República;3.837;28.473;2016
Togo;-;-;2016
Trinidade Tobago;-;-;2016
Tunísia;-;-;2016
Turquia;-;-;2016
Tuvalu;-;-;2016
Uruguai;-;-;2016
Vanuatu;-;-;2016
Venezuela;-;-;2016
Vietnã;-;-;2016
Total;1.786.549;4.434.704;2016
Afeganistão;-;-;2017
África do Sul;-;-;2017
Alemanha, República Democrática;15.467;87.702;2017
Angola;10.170;61.680;2017
Anguilla;-;-;2017
Antígua e Barbuda;-;-;2017
Antilhas Holandesas;5.400;8.550;2017
Argentina;-;-;2017
Aruba;-;-;2017
Austrália;1.350;7.500;2017
Áustria;-;-;2017
Bahamas;-;-;2017
Bangladesh;-;-;2017
Barbados;-;-;2017
Barein;-;-;2017
Bélgica;2.790;16.405;2017
Belice;-;-;2017
Benin;-;-;2017
Bolívia;9.495;23.085;2017
Bósnia-Herzegovina;-;-;2017
Brasil;-;-;2017
Bulgária;117;1.579;2017
Cabo Verde;-;-;2017
Camarões;1.749;7.476;2017
Canadá;6.075;30.658;2017
Catar;13.338;81.606;2017
Cayman, Ilhas;-;-;2017
Chile;-;-;2017
China;67.594;266.086;2017
Chipre;-;-;2017
Cingapura;-;-;2017
Cocos (Keeling), Ilhas;-;-;2017
Colômbia;-;-;2017
Comores;-;-;2017
Congo;-;-;2017
Coreia, Republica Sul;-;-;2017
Costa do Marfim;-;-;2017
Costa Rica;-;-;2017
Croácia;-;-;2017
Cuba;62.791;72.229;2017
Curaçao;12.340;23.011;2017
Dinamarca;581;2.829;2017
Dominica;-;-;2017
El Salvador;-;-;2017
Emirados Arabes Unidos;675;3.302;2017
Equador;-;-;2017
Eslovaca, Republica;-;-;2017
Espanha;-;-;2017
Estados Unidos;132.688;1.523.699;2017
Estônia;-;-;2017
Filipinas;-;-;2017
Finlândia;-;-;2017
França;4.253;21.654;2017
Gana;-;-;2017
Gibraltar;-;-;2017
Granada;-;-;2017
Grécia;-;-;2017
Guatemala;-;-;2017
Guiana;-;-;2017
Guiana Francesa;-;-;2017
Guine Bissau;48;90;2017
Guine Equatorial;2.639;30.563;2017
Haiti;-;-;2017
Honduras;-;-;2017
Hong Kong;1.934;8.180;2017
Hungria;-;-;2017
Ilha de Man;-;-;2017
Ilhas Virgens;-;-;2017
India;-;-;2017
Indonésia;-;-;2017
Irã;-;-;2017
Iraque;-;-;2017
Irlanda;-;-;2017
Itália;468;2.248;2017
Jamaica;-;-;2017
Japão;33.909;92.886;2017
Jordânia;-;-;2017
Letônia;387;3.723;2017
Líbano;-;-;2017
Libéria;-;-;2017
Luxemburgo;2.719;21.947;2017
Malásia;-;-;2017
Malta;-;-;2017
Marshall, Ilhas;-;-;2017
Mauritânia;-;-;2017
México;664;2.292;2017
Moçambique;-;-;2017
Montenegro;-;-;2017
Namibia;-;-;2017
Nicaragua;-;-;2017
Nigéria;-;-;2017
Noruega;-;-;2017
Nova Caledônia;-;-;2017
Nova Zelândia;1.678;8.140;2017
Omã;-;-;2017
Países Baixos;-;-;2017
Panamá;-;-;2017
Paraguai;2.393.468;4.274.650;2017
Peru;-;-;2017
Polônia;-;-;2017
Porto Rico;-;-;2017
Portugal;-;-;2017
Quênia;-;-;2017
Reino Unido;60.711;242.883;2017
República Dominicana;-;-;2017
Rússia;-;-;2017
São Tomé e Príncipe;-;-;2017
São Vicente e Granadinas;-;-;2017
Senegal;-;-;2017
Serra Leoa;-;-;2017
Singapura;-;-;2017
Suazilândia;-;-;2017
Suécia;15.445;64.953;2017
Suíça;6.525;74.816;2017
Suriname;3.690;5.638;2017
Tailândia;-;-;2017
Taiwan (FORMOSA);14.988;43.954;2017
Tanzânia;-;-;2017
Tcheca, República;2.746;16.947;2017
Togo;-;-;2017
Trinidade Tobago;-;-;2017
Tunísia;-;-;2017
Turquia;-;-;2017
Tuvalu;-;-;2017
Uruguai;-;-;2017
Vanuatu;-;-;2017
Venezuela;680;2.646;2017
Vietnã;-;-;2017
Total;2.889.572;7.135.607;2017
Afeganistão;-;-;2018
África do Sul;-;-;2018
Alemanha, República Democrática;10.794;45.382;2018
Angola;477;709;2018
Anguilla;-;-;2018
Antígua e Barbuda;37;191;2018
Antilhas Holandesas;-;-;2018
Argentina;15.711;59.150;2018
Aruba;-;-;2018
Austrália;2.055;6.902;2018
Áustria;-;-;2018
Bahamas;141;634;2018
Bangladesh;-;-;2018
Barbados;-;-;2018
Barein;-;-;2018
Bélgica;7.497;52.799;2018
Belice;-;-;2018
Benin;-;-;2018
Bolívia;21.566;57.424;2018
Bósnia-Herzegovina;-;-;2018
Brasil;-;-;2018
Bulgária;-;-;2018
Cabo Verde;18;48;2018
Camarões;-;-;2018
Canadá;5.308;20.414;2018
Catar;-;-;2018
Cayman, Ilhas;19;203;2018
Chile;11.049;42.832;2018
China;30.835;126.336;2018
Chipre;279;480;2018
Cingapura;3.298;11.616;2018
Cocos (Keeling), Ilhas;-;-;2018
Colômbia;6.944;26.273;2018
Comores;-;-;2018
Congo;-;-;2018
Coreia, Republica Sul;120;109;2018
Costa do Marfim;-;-;2018
Costa Rica;-;-;2018
Croácia;-;-;2018
Cuba;4.776;5.584;2018
Curaçao;23.930;43.676;2018
Dinamarca;-;-;2018
Dominica;-;-;2018
El Salvador;-;-;2018
Emirados Arabes Unidos;360;1.762;2018
Equador;-;-;2018
Eslovaca, Republica;-;-;2018
Espanha;6.123;22.631;2018
Estados Unidos;169.109;512.519;2018
Estônia;-;-;2018
Filipinas;9.608;16.205;2018
Finlândia;-;-;2018
França;11.077;48.677;2018
Gana;9.000;13.502;2018
Gibraltar;-;-;2018
Granada;-;-;2018
Grécia;232;730;2018
Guatemala;-;-;2018
Guiana;-;-;2018
Guiana Francesa;-;-;2018
Guine Bissau;-;-;2018
Guine Equatorial;8.389;26.808;2018
Haiti;79.500;144.425;2018
Honduras;-;-;2018
Hong Kong;1.742;9.029;2018
Hungria;-;-;2018
Ilha de Man;-;-;2018
Ilhas Virgens;-;-;2018
India;-;-;2018
Indonésia;-;-;2018
Irã;-;-;2018
Iraque;-;-;2018
Irlanda;7.560;25.767;2018
Itália;3.661;13.260;2018
Jamaica;-;-;2018
Japão;36.992;112.342;2018
Jordânia;-;-;2018
Letônia;-;-;2018
Líbano;-;-;2018
Libéria;658;3.100;2018
Luxemburgo;1.778;11.053;2018
Malásia;15;33;2018
Malta;503;1.192;2018
Marshall, Ilhas;923;2.436;2018
Mauritânia;-;-;2018
México;2.748;9.744;2018
Moçambique;-;-;2018
Montenegro;-;-;2018
Namibia;-;-;2018
Nicaragua;-;-;2018
Nigéria;5.175;6.250;2018
Noruega;1.295;9.847;2018
Nova Caledônia;-;-;2018
Nova Zelândia;969;5.565;2018
Omã;-;-;2018
Países Baixos;9.451;32.395;2018
Panamá;1.183;3.117;2018
Paraguai;3.234.168;5.494.321;2018
Peru;5.193;19.372;2018
Polônia;720;4.679;2018
Porto Rico;-;-;2018
Portugal;-;-;2018
Quênia;6.771;31.225;2018
Reino Unido;67.708;296.827;2018
República Dominicana;-;-;2018
Rússia;-;-;2018
São Tomé e Príncipe;2.184;2.357;2018
São Vicente e Granadinas;-;-;2018
Senegal;-;-;2018
Serra Leoa;-;-;2018
Singapura;-;-;2018
Suazilândia;-;-;2018
Suécia;8.062;34.563;2018
Suíça;-;-;2018
Suriname;-;-;2018
Tailândia;8;45;2018
Taiwan (FORMOSA);7.589;18.421;2018
Tanzânia;-;-;2018
Tcheca, República;2.712;20.980;2018
Togo;-;-;2018
Trinidade Tobago;-;-;2018
Tunísia;-;-;2018
Turquia;360;150;2018
Tuvalu;-;-;2018
Uruguai;7.711;29.617;2018
Vanuatu;-;-;2018
Venezuela;71;355;2018
Vietnã;-;-;2018
Total;3.856.162;7.486.063;2018
Afeganistão;-;-;2019
África do Sul;26;95;2019
Alemanha, República Democrática;3.660;25.467;2019
Angola;345;1.065;2019
Anguilla;-;-;2019
Antígua e Barbuda;219;1.549;2019
Antilhas Holandesas;-;-;2019
Argentina;-;-;2019
Aruba;-;-;2019
Austrália;1.161;4.682;2019
Áustria;-;-;2019
Bahamas;791;3.124;2019
Bangladesh;-;-;2019
Barbados;36;394;2019
Barein;482;2.144;2019
Bélgica;2.498;12.548;2019
Belice;9;29;2019
Benin;9;9;2019
Bolívia;-;-;2019
Bósnia-Herzegovina;-;-;2019
Brasil;-;-;2019
Bulgária;-;-;2019
Cabo Verde;-;-;2019
Camarões;-;-;2019
Canadá;1.589;6.933;2019
Catar;-;-;2019
Cayman, Ilhas;19;106;2019
Chile;-;-;2019
China;129.852;376.828;2019
Chipre;672;1.843;2019
Cingapura;5.044;19.099;2019
Cocos (Keeling), Ilhas;-;-;2019
Colômbia;897;1.999;2019
Comores;-;-;2019
Congo;-;-;2019
Coreia, Republica Sul;70;194;2019
Costa do Marfim;-;-;2019
Costa Rica;-;-;2019
Croácia;-;-;2019
Cuba;-;-;2019
Curaçao;33.951;62.067;2019
Dinamarca;240;306;2019
Dominica;-;-;2019
El Salvador;-;-;2019
Emirados Arabes Unidos;450;2.202;2019
Equador;2;3;2019
Eslovaca, Republica;-;-;2019
Espanha;3.540;1.353;2019
Estados Unidos;209.765;616.274;2019
Estônia;-;-;2019
Filipinas;736;2.486;2019
Finlândia;-;-;2019
França;18.286;67.072;2019
Gana;7.673;10.010;2019
Gibraltar;23;93;2019
Granada;-;-;2019
Grécia;561;1.994;2019
Guatemala;1.597;8.719;2019
Guiana;424;1.311;2019
Guiana Francesa;-;-;2019
Guine Bissau;-;-;2019
Guine Equatorial;-;-;2019
Haiti;81.873;129.803;2019
Honduras;-;-;2019
Hong Kong;9.651;42.020;2019
Hungria;-;-;2019
Ilha de Man;28;175;2019
Ilhas Virgens;-;-;2019
India;51;273;2019
Indonésia;-;-;2019
Irã;-;-;2019
Iraque;-;-;2019
Irlanda;-;-;2019
Itália;587;1.625;2019
Jamaica;-;-;2019
Japão;40.621;99.642;2019
Jordânia;-;-;2019
Letônia;-;-;2019
Líbano;-;-;2019
Libéria;4.441;20.068;2019
Luxemburgo;1.666;11.211;2019
Malásia;48;110;2019
Malta;3.661;8.828;2019
Marshall, Ilhas;7.276;15.786;2019
Mauritânia;-;-;2019
México;4;4;2019
Moçambique;-;-;2019
Montenegro;9;46;2019
Namibia;-;-;2019
Nicaragua;-;-;2019
Nigéria;28.437;38.555;2019
Noruega;628;3.139;2019
Nova Caledônia;-;-;2019
Nova Zelândia;500;2.832;2019
Omã;-;-;2019
Países Baixos;44.882;148.031;2019
Panamá;7.918;29.017;2019
Paraguai;2.419.537;3.826.587;2019
Peru;9.755;17.310;2019
Polônia;5;11;2019
Porto Rico;-;-;2019
Portugal;18.328;72.413;2019
Quênia;-;-;2019
Reino Unido;34.295;164.592;2019
República Dominicana;-;-;2019
Rússia;-;-;2019
São Tomé e Príncipe;-;-;2019
São Vicente e Granadinas;-;-;2019
Senegal;-;-;2019
Serra Leoa;18;717;2019
Singapura;-;-;2019
Suazilândia;-;-;2019
Suécia;28;761;2019
Suíça;2.223;28.503;2019
Suriname;3.206;4.741;2019
Tailândia;128;832;2019
Taiwan (FORMOSA);12;67;2019
Tanzânia;-;-;2019
Tcheca, República;2.115;16.391;2019
Togo;-;-;2019
Trinidade Tobago;-;-;2019
Tunísia;-;-;2019
Turquia;115;209;2019
Tuvalu;-;-;2019
Uruguai;6.180;18.497;2019
Vanuatu;-;-;2019
Venezuela;-;-;2019
Vietnã;20;32;2019
Total;3.152.873;5.934.826;2019
Afeganistão;-;-;2020
África do Sul;4;21;2020
Alemanha, República Democrática;6.261;32.605;2020
Angola;-;-;2020
Anguilla;-;-;2020
Antígua e Barbuda;624;1.864;2020
Antilhas Holandesas;-;-;2020
Argentina;1.015;4.176;2020
Aruba;-;-;2020
Austrália;1.013;3.413;2020
Áustria;-;-;2020
Bahamas;1.212;3.703;2020
Bangladesh;3;29;2020
Barbados;143;169;2020
Barein;8;28;2020
Bélgica;3.166;20.460;2020
Belice;-;-;2020
Benin;-;-;2020
Bolívia;9.900;16.025;2020
Bósnia-Herzegovina;45;52;2020
Brasil;-;-;2020
Bulgária;-;-;2020
Cabo Verde;-;-;2020
Camarões;0;178;2020
Canadá;1.672;8.431;2020
Catar;-;-;2020
Cayman, Ilhas;123;339;2020
Chile;11;13;2020
China;122.253;363.000;2020
Chipre;2.478;6.785;2020
Cingapura;4.049;9.316;2020
Cocos (Keeling), Ilhas;-;-;2020
Colômbia;15.660;23.780;2020
Comores;9;25;2020
Congo;-;-;2020
Coreia, Republica Sul;103;433;2020
Costa do Marfim;-;-;2020
Costa Rica;-;-;2020
Croácia;21;123;2020
Cuba;-;-;2020
Curaçao;47.962;65.986;2020
Dinamarca;659;1.962;2020
Dominica;-;-;2020
El Salvador;-;-;2020
Emirados Arabes Unidos;581;2.279;2020
Equador;3.780;3.824;2020
Eslovaca, Republica;-;-;2020
Espanha;28;126;2020
Estados Unidos;300.178;610.793;2020
Estônia;-;-;2020
Filipinas;719;1.548;2020
Finlândia;-;-;2020
França;12.622;57.144;2020
Gana;18.810;22.027;2020
Gibraltar;769;2.860;2020
Granada;-;-;2020
Grécia;6.859;18.092;2020
Guatemala;-;-;2020
Guiana;990;2.577;2020
Guiana Francesa;-;-;2020
Guine Bissau;-;-;2020
Guine Equatorial;-;-;2020
Haiti;399.128;471.152;2020
Honduras;-;-;2020
Hong Kong;15.159;41.987;2020
Hungria;-;-;2020
Ilha de Man;11;121;2020
Ilhas Virgens;-;-;2020
India;7;10;2020
Indonésia;5;6;2020
Irã;21;35;2020
Iraque;-;-;2020
Irlanda;29;257;2020
Itália;91;376;2020
Jamaica;-;-;2020
Japão;36.442;92.674;2020
Jordânia;12;52;2020
Letônia;-;-;2020
Líbano;-;-;2020
Libéria;5.155;17.624;2020
Luxemburgo;1.086;5.110;2020
Malásia;-;-;2020
Malta;3.490;9.688;2020
Marshall, Ilhas;6.270;19.639;2020
Mauritânia;-;-;2020
México;24;226;2020
Moçambique;-;-;2020
Montenegro;9;20;2020
Namibia;-;-;2020
Nicaragua;-;-;2020
Nigéria;12.094;26.514;2020
Noruega;1.859;15.134;2020
Nova Caledônia;-;-;2020
Nova Zelândia;95;515;2020
Omã;-;-;2020
Países Baixos;248;1.532;2020
Panamá;10.821;28.372;2020
Paraguai;3.299.013;3.869.243;2020
Peru;-;-;2020
Polônia;74;86;2020
Porto Rico;-;-;2020
Portugal;7.958;34.518;2020
Quênia;-;-;2020
Reino Unido;22.913;82.722;2020
República Dominicana;-;-;2020
Rússia;1.463;8.550;2020
São Tomé e Príncipe;-;-;2020
São Vicente e Granadinas;-;-;2020
Senegal;-;-;2020
Serra Leoa;9.240;13.050;2020
Singapura;-;-;2020
Suazilândia;-;-;2020
Suécia;6;24;2020
Suíça;2.827;27.930;2020
Suriname;4.185;5.277;2020
Tailândia;534;1.753;2020
Taiwan (FORMOSA);963;4.673;2020
Tanzânia;-;-;2020
Tcheca, República;563;4.805;2020
Togo;-;-;2020
Trinidade Tobago;-;-;2020
Tunísia;-;-;2020
Turquia;-;-;2020
Tuvalu;2;4;2020
Uruguai;-;-;2020
Vanuatu;18;31;2020
Venezuela;4.086;9.808;2020
Vietnã;86;584;2020
Total;4.409.717;6.078.288;2020
Afeganistão;11;46;2021
África do Sul;-;-;2021
Alemanha, República Democrática;2.698;6.741;2021
Angola;-;-;2021
Anguilla;-;-;2021
Antígua e Barbuda;805;2.268;2021
Antilhas Holandesas;-;-;2021
Argentina;6;13;2021
Aruba;-;-;2021
Austrália;705;4.034;2021
Áustria;-;-;2021
Bahamas;1.083;4.567;2021
Bangladesh;2;20;2021
Barbados;216;844;2021
Barein;302;894;2021
Bélgica;483;3.749;2021
Belice;-;-;2021
Benin;-;-;2021
Bolívia;5.850;8.360;2021
Bósnia-Herzegovina;-;-;2021
Brasil;31;46;2021
Bulgária;-;-;2021
Cabo Verde;16;124;2021
Camarões;-;-;2021
Canadá;1.172;6.157;2021
Catar;1;2;2021
Cayman, Ilhas;104;356;2021
Chile;26;6;2021
China;61.884;264.116;2021
Chipre;1.855;4.530;2021
Cingapura;-;-;2021
Cocos (Keeling), Ilhas;-;-;2021
Colômbia;12.160;21.867;2021
Comores;-;-;2021
Congo;-;-;2021
Coreia, Republica Sul;67;100;2021
Costa do Marfim;-;-;2021
Costa Rica;-;-;2021
Croácia;-;-;2021
Cuba;-;-;2021
Curaçao;32.263;58.993;2021
Dinamarca;87;504;2021
Dominica;460;634;2021
El Salvador;-;-;2021
Emirados Arabes Unidos;810;10.522;2021
Equador;-;-;2021
Eslovaca, Republica;-;-;2021
Espanha;-;-;2021
Estados Unidos;111.085;203.554;2021
Estônia;-;-;2021
Filipinas;2.784;10.368;2021
Finlândia;-;-;2021
França;7.052;23.742;2021
Gana;12.578;19.196;2021
Gibraltar;-;-;2021
Granada;-;-;2021
Grécia;908;3.014;2021
Guatemala;17.347;29.100;2021
Guiana;2.372;6.525;2021
Guiana Francesa;90;32;2021
Guine Bissau;-;-;2021
Guine Equatorial;-;-;2021
Haiti;670.379;831.181;2021
Honduras;-;-;2021
Hong Kong;12.507;39.390;2021
Hungria;87;583;2021
Ilha de Man;97;445;2021
Ilhas Virgens;-;-;2021
India;13;86;2021
Indonésia;-;-;2021
Irã;116;287;2021
Iraque;-;-;2021
Irlanda;36;208;2021
Itália;696;3.715;2021
Jamaica;-;-;2021
Japão;39.491;90.275;2021
Jordânia;-;-;2021
Letônia;-;-;2021
Líbano;-;-;2021
Libéria;7.554;23.060;2021
Luxemburgo;-;-;2021
Malásia;-;-;2021
Malta;3.441;15.454;2021
Marshall, Ilhas;8.644;22.561;2021
Mauritânia;9;85;2021
México;9;2;2021
Moçambique;-;-;2021
Montenegro;14;65;2021
Namibia;-;-;2021
Nicaragua;-;-;2021
Nigéria;68.247;113.172;2021
Noruega;1.878;8.320;2021
Nova Caledônia;7.227;11.924;2021
Nova Zelândia;657;10.477;2021
Omã;-;-;2021
Países Baixos;3.791;8.484;2021
Panamá;29.520;48.444;2021
Paraguai;6.522.527;7.192.362;2021
Peru;9.720;17.107;2021
Polônia;4;14;2021
Porto Rico;-;-;2021
Portugal;6.358;42.633;2021
Quênia;-;-;2021
Reino Unido;25.316;122.394;2021
República Dominicana;-;-;2021
Rússia;181.931;312.926;2021
São Tomé e Príncipe;-;-;2021
São Vicente e Granadinas;8;48;2021
Senegal;-;-;2021
Serra Leoa;6.525;12.955;2021
Singapura;4.504;14.346;2021
Suazilândia;10;24;2021
Suécia;23;74;2021
Suíça;627;6.999;2021
Suriname;900;1.472;2021
Tailândia;1.334;2.529;2021
Taiwan (FORMOSA);1.313;8.153;2021
Tanzânia;-;-;2021
Tcheca, República;456;5.988;2021
Togo;1.890;2.012;2021
Trinidade Tobago;-;-;2021
Tunísia;-;-;2021
Turquia;343;878;2021
Tuvalu;-;-;2021
Uruguai;136.774;149.842;2021
Vanuatu;-;-;2021
Venezuela;26.415;35.944;2021
Vietnã;-;-;2021
Total;8.058.704;9.851.942;2021
Afeganistão;-;-;2022
África do Sul;-;-;2022
Alemanha, República Democrática;7.630;45.367;2022
Angola;4.068;4.761;2022
Anguilla;-;-;2022
Antígua e Barbuda;419;1.866;2022
Antilhas Holandesas;-;-;2022
Argentina;480;3.232;2022
Aruba;-;-;2022
Austrália;1.424;12.299;2022
Áustria;6;212;2022
Bahamas;1.215;5.799;2022
Bangladesh;7;84;2022
Barbados;220;1.145;2022
Barein;979;2.789;2022
Bélgica;828;6.145;2022
Belice;-;-;2022
Benin;-;-;2022
Bolívia;32.530;49.011;2022
Bósnia-Herzegovina;-;-;2022
Brasil;2.504;952;2022
Bulgária;5;31;2022
Cabo Verde;-;-;2022
Camarões;-;-;2022
Canadá;1.183;5.784;2022
Catar;-;-;2022
Cayman, Ilhas;160;958;2022
Chile;2.094;7.986;2022
China;105.395;404.647;2022
Chipre;1.521;4.458;2022
Cingapura;-;-;2022
Cocos (Keeling), Ilhas;26;60;2022
Colômbia;8.217;14.068;2022
Comores;-;-;2022
Congo;-;-;2022
Coreia, Republica Sul;77;257;2022
Costa do Marfim;-;-;2022
Costa Rica;-;-;2022
Croácia;34;484;2022
Cuba;16;6;2022
Curaçao;40.673;66.950;2022
Dinamarca;2;6;2022
Dominica;1.485;2.223;2022
El Salvador;-;-;2022
Emirados Arabes Unidos;4.781;85.465;2022
Equador;135;210;2022
Eslovaca, Republica;-;-;2022
Espanha;-;-;2022
Estados Unidos;220.373;447.893;2022
Estônia;-;-;2022
Filipinas;375;790;2022
Finlândia;-;-;2022
França;5.694;25.008;2022
Gana;35.949;49.304;2022
Gibraltar;-;-;2022
Granada;5.610;7.914;2022
Grécia;920;2.426;2022
Guatemala;1.283;5.350;2022
Guiana;2.064;5.823;2022
Guiana Francesa;22;18;2022
Guine Bissau;-;-;2022
Guine Equatorial;-;-;2022
Haiti;553.503;741.014;2022
Honduras;-;-;2022
Hong Kong;9.371;38.218;2022
Hungria;-;-;2022
Ilha de Man;165;641;2022
Ilhas Virgens;-;-;2022
India;247;1.021;2022
Indonésia;-;-;2022
Irã;47;90;2022
Iraque;-;-;2022
Irlanda;-;-;2022
Itália;1.129;6.151;2022
Jamaica;-;-;2022
Japão;37.324;82.208;2022
Jordânia;-;-;2022
Letônia;-;-;2022
Líbano;-;-;2022
Libéria;9.145;34.815;2022
Luxemburgo;36;802;2022
Malásia;-;-;2022
Malta;3.127;15.587;2022
Marshall, Ilhas;7.240;27.178;2022
Mauritânia;-;-;2022
México;6;33;2022
Moçambique;383;1.927;2022
Montenegro;-;-;2022
Namibia;-;-;2022
Nicaragua;-;-;2022
Nigéria;32.234;50.283;2022
Noruega;2.711;40.316;2022
Nova Caledônia;-;-;2022
Nova Zelândia;63;156;2022
Omã;194;670;2022
Países Baixos;7.034;37.240;2022
Panamá;11.490;49.392;2022
Paraguai;5.076.670;7.156.293;2022
Peru;-;-;2022
Polônia;-;-;2022
Porto Rico;-;-;2022
Portugal;1.918;7.613;2022
Quênia;1.440;2.080;2022
Reino Unido;18.835;138.154;2022
República Dominicana;-;-;2022
Rússia;66.046;118.618;2022
São Tomé e Príncipe;-;-;2022
São Vicente e Granadinas;20;51;2022
Senegal;-;-;2022
Serra Leoa;8.101;15.182;2022
Singapura;4.322;15.434;2022
Suazilândia;-;-;2022
Suécia;5;18;2022
Suíça;1.584;20.863;2022
Suriname;1.225;3.360;2022
Tailândia;432;1.713;2022
Taiwan (FORMOSA);25;277;2022
Tanzânia;-;-;2022
Tcheca, República;1.305;9.997;2022
Togo;17.317;25.608;2022
Trinidade Tobago;-;-;2022
